Deskriptive Statistiken der Features pro Cluster (Mittelwert, Standardabweichung, etc.):

--- Cluster 0 ---
                                                        count           mean            std          min            25%            50%            75%           max
team_result                                           54002.0       0.553461       0.503799     0.000000       0.000000       1.000000       1.000000  2.000000e+00
overtime_seconds                                      54002.0      45.310248     123.075134     0.000000       0.000000       0.000000      55.000000  3.447000e+03
stats_core_shots                                      54002.0       3.752213       2.226725     0.000000       2.000000       3.000000       5.000000  5.400000e+01
stats_core_shots_against                              54002.0       8.230751       5.777732     0.000000       6.000000       8.000000      10.000000  1.260000e+02
stats_core_goals                                      54002.0       1.090589       1.103979     0.000000       0.000000       1.000000       2.000000  2.000000e+01
stats_core_goals_against                              54002.0       2.661513       2.776702     0.000000       1.000000       2.000000       3.000000  6.900000e+01
stats_core_saves                                      54002.0       1.551406       1.400171     0.000000       1.000000       1.000000       2.000000  3.600000e+01
stats_core_assists                                    54002.0       0.736769       0.849536     0.000000       0.000000       1.000000       1.000000  6.000000e+00
stats_core_score                                      54002.0     452.766860     213.348803     0.000000     307.000000     422.000000     563.000000  4.883000e+03
stats_core_shooting_percentage                        54002.0      28.827381      28.998831     0.000000       0.000000      25.000000      50.000000  3.000000e+02
stats_boost_bpm                                       54002.0     437.821970      82.540491     0.000000     405.000000     437.000000     469.000000  1.382500e+04
stats_boost_bcpm                                      54002.0     454.509780      61.391116     0.000000     421.045308     454.342630     487.522340  8.081632e+03
stats_boost_avg_amount                                54002.0      50.434480       4.621360     7.060000      47.370000      50.420000      53.460000  1.000000e+02
stats_boost_amount_collected                          54002.0    2825.520833     586.273160     0.000000    2481.000000    2719.000000    3034.000000  1.373000e+04
stats_boost_amount_stolen                             54002.0     756.654105     226.332879     0.000000     615.000000     734.000000     866.000000  5.435000e+03
stats_boost_amount_collected_big                      54002.0    2040.080053     474.764974     0.000000    1749.000000    1981.000000    2250.000000  1.044100e+04
stats_boost_amount_stolen_big                         54002.0     481.909244     193.724495     0.000000     355.000000     467.000000     589.000000  3.923000e+03
stats_boost_amount_collected_small                    54002.0     785.440780     230.289096     0.000000     640.000000     747.000000     882.000000  3.766000e+03
stats_boost_amount_stolen_small                       54002.0     274.744861      95.519839     0.000000     212.000000     263.000000     321.000000  1.852000e+03
stats_boost_count_collected_big                       54002.0      24.964631       6.072890     0.000000      21.000000      24.000000      28.000000  2.490000e+02
stats_boost_count_stolen_big                          54002.0       5.851006       2.312854     0.000000       4.000000       6.000000       7.000000  7.400000e+01
