Deskriptive Statistiken der Features pro Cluster (Mittelwert, Standardabweichung, etc.):

--- Cluster 0 ---
                                                        count           mean            std          min            25%            50%            75%           max
team_result                                           48357.0       0.559257       0.503389     0.000000       0.000000       1.000000       1.000000  2.000000e+00
team_size                                             48357.0       3.018012       0.584835     1.000000       3.000000       3.000000       3.000000  4.000000e+00
duration                                              48357.0     402.515417     131.237709    43.000000     345.000000     370.000000     423.000000  2.598000e+03
overtime_seconds                                      48357.0      49.869161     132.730719     0.000000       0.000000       0.000000      64.000000  3.447000e+03
stats_core_shots                                      48357.0       3.581219       2.197419     0.000000       2.000000       3.000000       5.000000  5.400000e+01
stats_core_shots_against                              48357.0       8.265649       6.127319     0.000000       6.000000       8.000000      10.000000  1.260000e+02
stats_core_goals                                      48357.0       1.028827       1.082671     0.000000       0.000000       1.000000       2.000000  2.000000e+01
stats_core_goals_against                              48357.0       2.625887       2.934096     0.000000       1.000000       2.000000       3.000000  6.900000e+01
stats_core_saves                                      48357.0       1.488492       1.373253     0.000000       0.000000       1.000000       2.000000  3.600000e+01
stats_core_assists                                    48357.0       0.717187       0.840717     0.000000       0.000000       1.000000       1.000000  6.000000e+00
stats_core_score                                      48357.0     435.900159     211.517980     0.000000     294.000000     405.000000     542.000000  4.883000e+03
stats_core_shooting_percentage                        48357.0      28.380268      29.589067     0.000000       0.000000      25.000000      50.000000  3.000000e+02
stats_boost_bpm                                       48357.0     434.224973      86.044696     0.000000     402.000000     433.000000     465.000000  1.382500e+04
stats_boost_bcpm                                      48357.0     450.298032      63.009152     0.000000     416.918820     450.032300     483.410680  8.081632e+03
stats_boost_avg_amount                                48357.0      50.524396       4.718689     7.060000      47.430000      50.510000      53.580000  1.000000e+02
stats_boost_amount_collected                          48357.0    2826.346486     609.326190     0.000000    2467.000000    2707.000000    3035.000000  1.373000e+04
stats_boost_amount_stolen                             48357.0     755.538392     235.251572     0.000000     608.000000     730.000000     869.000000  5.435000e+03
stats_boost_amount_collected_big                      48357.0    2030.466861     492.016770     0.000000    1730.000000    1964.000000    2241.000000  1.044100e+04
stats_boost_amount_stolen_big                         48357.0     478.765742     199.476862     0.000000     349.000000     463.000000     588.000000  3.923000e+03
stats_boost_amount_collected_small                    48357.0     795.879624     236.609113     0.000000     646.000000     756.000000     895.000000  3.766000e+03
stats_boost_amount_stolen_small                       48357.0     276.772649      98.045435     0.000000     213.000000     264.000000     324.000000  1.852000e+03
stats_boost_count_collected_big                       48357.0      24.817090       6.315238     0.000000      21.000000      24.000000      27.000000  2.490000e+02
stats_boost_count_stolen_big                          48357.0       5.808342       2.395391     0.000000       4.000000       6.000000       7.000000  7.400000e+01
stats_boost_count_collected_small                     48357.0      69.454908      19.994653     0.000000      57.000000      66.000000      78.000000  7.610000e+02
stats_boost_count_stolen_small                        48357.0      23.888124       8.229958     0.000000      19.000000      23.000000      28.000000  4.190000e+02
stats_boost_amount_overfill                           48357.0     432.985504     209.663166     0.000000     289.000000     403.000000     538.000000  5.612000e+03
stats_boost_amount_overfill_stolen                    48357.0      95.458320      75.758516     0.000000      39.000000      82.000000     134.000000  1.839000e+03
stats_boost_amount_used_while_supersonic              48357.0     404.645408     179.655161     0.000000     280.000000     379.000000     500.000000  4.083000e+03
stats_boost_percent_zero_boost                        48357.0      12.084725       4.255196     0.000000       9.090641      11.708144      14.676663  3.799501e+01
stats_boost_percent_full_boost                        48357.0      11.399027       4.169395     0.000000       8.453439      10.790506      13.617194  4.471144e+01
stats_boost_percent_boost_0_25                        48357.0      33.570917       7.037064     0.000000      28.780397      33.412064      38.165220  1.000000e+02
stats_boost_percent_boost_25_50                       48357.0      20.888832       3.915253     0.000000      18.195105      20.786766      23.457422  5.252748e+01
stats_boost_percent_boost_50_75                       48357.0      17.775852       3.874393     0.000000      15.103813      17.589167      20.227184  4.242808e+01
stats_boost_percent_boost_75_100                      48357.0      27.720972       6.009657     0.000000      23.551798      27.380873      31.559752  1.000000e+02
stats_movement_avg_speed                              48357.0    1602.253117      73.519907   999.000000    1554.000000    1601.000000    1650.000000  2.168000e+03
stats_movement_total_distance                         48357.0  591487.549352  129950.284492   701.000000  520928.000000  552894.000000  623874.000000  3.006909e+06
